444	169	38%
442	167	37%
442	165	37%
442	170	38%
444	170	38%
442	169	38%
442	167	37%
442	169	38%
442	169	38%
442	167	37%
444	170	38%
444	171	38%
442	170	38%
442	167	37%
442	167	37%
442	169	38%
442	168	38%
442	168	38%
442	169	38%
442	170	38%
442	171	38%
442	171	38%
442	171	38%
442	171	38%
442	171	38%
442	165	37%
444	174	39%
444	174	39%
442	169	38%
442	170	38%
442	170	38%
442	170	38%
442	170	38%
442	169	38%
444	174	39%
442	169	38%
442	170	38%
442	170	38%
442	168	38%
442	167	37%
443	174	39%
443	174	39%
442	175	39%
443	174	39%
442	186	42%
513	227	44%
446	195	43%
446	195	43%
446	195	43%
446	200	44%
446	200	44%
446	201	45%
443	185	41%
444	201	45%
444	200	45%
439	202	46%
446	189	42%
443	193	43%
442	179	40%
440	184	41%
442	184	41%
448	203	45%
445	196	44%
444	219	49%
441	227	51%
441	227	51%
441	226	51%
441	226	51%
441	221	50%
441	221	50%
441	223	50%
441	224	50%
441	228	51%
441	228	51%
441	225	51%
441	225	51%
441	225	51%
441	225	51%
441	225	51%
441	228	51%
287	109	37%
287	109	37%
287	109	37%
287	109	37%
287	109	37%
228	80	35%
228	80	35%
228	80	35%
228	80	35%
228	82	35%
228	82	35%
220	80	36%
220	80	36%
220	80	36%
220	78	35%
220	79	35%
220	79	35%
214	78	36%
214	78	36%
214	78	36%
214	78	36%
214	78	36%
214	78	36%
214	78	36%
214	78	36%
214	78	36%
214	78	36%
214	78	36%
214	78	36%
214	78	36%
214	78	36%
214	78	36%
214	78	36%
214	78	36%
214	78	36%
214	78	36%
214	78	36%
214	78	36%
214	78	36%
214	78	36%
214	78	36%
214	78	36%
214	78	36%
214	78	36%
214	78	36%
214	78	36%
214	78	36%
214	78	36%
214	78	36%
214	79	36%
214	79	36%
214	79	36%
214	80	37%
214	80	37%
207	70	33%
207	69	33%
207	71	34%
207	71	34%
207	71	34%
207	71	34%
207	71	34%
207	70	33%
207	70	33%
207	70	33%
207	70	33%
207	72	34%
207	70	33%
207	73	35%
207	71	34%
207	71	34%
207	73	35%
207	70	33%
207	71	34%
207	72	34%
207	77	37%
207	72	34%
207	72	34%
207	72	34%
207	72	34%
207	72	34%
207	72	34%
207	72	34%
207	74	35%
207	74	35%
207	74	35%
207	73	35%
207	72	34%
207	72	34%
207	72	34%
207	72	34%
207	73	35%
207	73	35%
207	74	35%
207	75	36%
207	73	35%
207	73	35%
207	73	35%
207	72	34%
207	74	35%
207	73	35%
207	73	35%
207	73	35%
207	76	36%
207	74	35%
207	73	35%
207	73	35%
207	74	35%
207	73	35%
207	73	35%
207	73	35%
207	74	35%
207	74	35%
207	75	36%
207	73	35%
207	75	36%
207	74	35%
207	74	35%
207	74	35%
207	73	35%
207	77	37%
207	77	37%
207	75	36%
207	81	39%
207	76	36%
207	79	38%
225	119	52%
225	119	52%
225	119	52%
222	118	53%
175	90	51%
182	71	39%
182	71	39%
182	71	39%
182	71	39%
182	71	39%
182	71	39%
182	71	39%
182	71	39%
182	71	39%
182	71	39%
182	71	39%
182	71	39%
182	71	39%
182	71	39%
182	71	39%
182	71	39%
182	71	39%
182	71	39%
182	71	39%
182	71	39%
182	71	39%
182	71	39%
182	71	39%
182	71	39%
182	71	39%
182	71	39%
182	71	39%
182	71	39%
182	71	39%
182	71	39%
182	71	39%
182	71	39%
182	71	39%
182	71	39%
182	71	39%
182	71	39%
182	71	39%
182	71	39%
182	71	39%
182	71	39%
182	71	39%
182	71	39%
182	71	39%
182	71	39%
182	72	39%
182	72	39%
182	74	40%
182	71	39%
182	71	39%
182	75	41%
182	75	41%
182	75	41%
182	75	41%
182	75	41%
182	73	40%
182	73	40%
182	73	40%
182	72	39%
182	72	39%
182	72	39%
182	72	39%
182	72	39%
182	72	39%
182	72	39%
182	72	39%
182	73	40%
182	73	40%
182	73	40%
182	73	40%
182	72	39%
182	72	39%
182	72	39%
182	72	39%
182	72	39%
182	72	39%
182	72	39%
182	72	39%
175	91	52%
182	73	40%
182	73	40%
182	73	40%
182	73	40%
182	73	40%
182	73	40%
182	73	40%
182	73	40%
182	73	40%
182	73	40%
182	73	40%
182	74	40%
182	74	40%
182	74	40%
182	74	40%
182	74	40%
182	74	40%
182	73	40%
177	93	52%
176	92	52%
176	92	52%
183	84	45%
103	54	52%
131	42	32%
131	42	32%
131	42	32%
131	42	32%
131	42	32%
131	42	32%
131	42	32%
131	42	32%
131	42	32%
131	42	32%
131	42	32%
131	44	33%
137	49	35%
142	51	35%
135	48	35%
131	45	34%
131	45	34%
131	45	34%
131	45	34%
131	45	34%
131	46	35%
131	46	35%
131	46	35%
131	46	35%
134	51	38%
131	47	35%
126	54	42%
131	47	35%
138	51	36%
131	49	37%
112	49	43%
122	46	37%
119	49	41%
117	51	43%
117	51	43%
117	51	43%
117	51	43%
117	51	43%
117	51	43%
117	51	43%
117	51	43%
128	75	58%
36	17	47%
128	75	58%
36	17	47%
128	75	58%
36	17	47%
128	75	58%
36	17	47%
128	75	58%
36	17	47%
128	75	58%
36	17	47%
128	75	58%
36	17	47%
128	75	58%
36	17	47%
128	75	58%
36	17	47%
128	75	58%
36	17	47%
128	75	58%
36	17	47%
128	75	58%
36	17	47%
128	75	58%
36	17	47%
128	75	58%
36	17	47%
128	75	58%
36	17	47%
71	28	39%
128	75	58%
36	17	47%
128	76	59%
36	17	47%
128	76	59%
36	17	47%
128	76	59%
36	17	47%
128	76	59%
36	17	47%
128	76	59%
36	17	47%
128	76	59%
36	17	47%
36	7	19%
81	28	34%
51	27	52%
44	22	50%
73	43	58%
86	24	27%
28	17	60%
19	8	42%
